PLAYER,TEAM,ACS,ADR,K/D,K,D,A,RP,KPR,ESR,HS%,FBPR,DPR,1vX,MK,FB,FD,ECON,PL,DE
TenZ,Cloud9 Blue,267,156.8,1.36,141,104,33,151,0.93,0.5,0.15,0.18,0.69,3,37,27,27,61.7,1,2
Subroza,TSM,259,152.6,1.3,136,105,33,149,0.91,0.57,0.35,0.18,0.7,1,35,27,20,59.0,3,2
retrQ,Renegades,245,137.2,1.16,219,189,46,253,0.87,0.45,0.21,0.11,0.75,2,65,29,35,56.1,10,5
Relyks,Cloud9 Blue,245,154.7,1.23,127,103,34,151,0.84,0.63,0.28,0.13,0.68,2,37,20,12,61.3,6,3
winsum,Renegades,244,151.6,1.0,201,201,83,253,0.79,0.38,0.19,0.14,0.79,3,57,35,56,53.3,1,8
sinatraa,Sentinels,239,162.0,1.09,184,169,86,234,0.79,0.57,0.17,0.14,0.72,1,43,33,25,61.6,6,5
JonahP,Complexity,237,156.2,1.22,107,88,38,129,0.83,0.43,0.29,0.07,0.68,3,32,9,12,60.7,9,3
SicK,Sentinels,237,151.6,1.23,195,158,61,234,0.83,0.55,0.22,0.12,0.68,4,51,27,22,56.4,35,5
Asuna,100 Thieves,234,151.5,0.97,252,261,81,326,0.77,0.43,0.2,0.17,0.8,3,70,54,73,56.4,6,3
kaboose,Envy,234,148.5,1.21,235,195,68,294,0.8,0.54,0.23,0.17,0.66,5,58,49,42,61.2,9,3
Brax,T1,233,150.9,1.23,167,136,48,209,0.8,0.55,0.31,0.12,0.65,2,43,26,21,60.9,6,2
mummAy,Envy,229,139.0,1.32,241,182,73,294,0.82,0.71,0.24,0.13,0.62,3,59,39,16,62.2,34,3
agm,Complexity,229,145.9,1.16,102,88,22,129,0.79,0.48,0.17,0.11,0.68,2,27,14,15,57.0,15,2
thief,Luminosity Gaming,227,149.2,1.09,143,131,30,172,0.83,0.42,0.34,0.09,0.76,0,37,16,22,56.6,9,0
food,Envy,226,141.0,1.26,228,181,84,294,0.78,0.64,0.25,0.16,0.62,5,56,46,26,65.8,18,8
psalm,Dignitas,225,139.7,1.08,133,123,36,176,0.76,0.49,0.26,0.11,0.7,1,30,19,20,59.3,5,2
Skadoodle,T1,225,130.3,1.1,152,138,47,209,0.73,0.65,0.14,0.19,0.66,5,33,40,22,56.4,17,6
crashies,Envy,224,150.1,1.38,234,169,119,294,0.8,0.7,0.27,0.09,0.57,8,58,26,11,62.4,17,7
Paincakes,Equinox Esports,224,142.2,0.99,85,86,37,115,0.74,0.67,0.25,0.09,0.75,2,23,10,5,55.2,5,0
Wardell,TSM,222,139.8,1.15,113,98,17,149,0.76,0.62,0.2,0.17,0.66,1,29,26,16,63.7,8,1
aproto,Luminosity Gaming,220,136.8,1.02,130,127,43,172,0.76,0.67,0.47,0.1,0.74,1,33,18,9,51.4,7,2
huynh,Gen.G Esports,219,143.1,1.18,129,109,22,160,0.81,0.6,0.21,0.19,0.68,7,34,31,21,55.0,1,4
Shawn,Gen.G Esports,219,136.7,1.02,119,117,27,160,0.74,0.49,0.24,0.14,0.73,2,27,23,24,54.7,4,2
dev,The Slimy Boogermen,216,144.7,1.12,114,102,46,150,0.76,0.75,0.21,0.1,0.68,3,25,15,5,57.1,14,1
drone,TSM,215,140.2,1.26,116,92,53,149,0.78,0.65,0.31,0.09,0.62,1,28,13,7,58.7,17,4
dephh,Dignitas,215,145.0,0.91,122,134,38,176,0.69,0.47,0.16,0.14,0.76,1,25,25,28,51.6,7,4
dicey,100 Thieves,212,131.4,1.07,244,229,57,326,0.75,0.58,0.19,0.14,0.7,3,60,47,34,51.6,12,2
Bjor,Built By Gamers,210,134.7,0.98,79,81,18,109,0.72,0.29,0.16,0.06,0.74,1,19,6,15,53.0,6,0
Welshy,The Slimy Boogermen,209,129.7,0.88,101,115,37,150,0.67,0.54,0.15,0.14,0.77,1,20,21,18,47.9,5,3
mitch,Cloud9 Blue,207,139.5,1.11,107,96,33,151,0.71,0.55,0.12,0.12,0.64,0,27,18,15,56.3,8,6
AYRIN,XSET,207,125.1,0.87,75,86,19,110,0.68,0.41,0.13,0.08,0.78,0,20,9,13,47.2,0,1
Andersin,The Slimy Boogermen,204,127.2,1.05,113,108,38,150,0.75,0.51,0.23,0.13,0.72,2,27,20,19,53.9,7,6
steel,100 Thieves,202,139.8,0.93,216,232,81,326,0.66,0.46,0.15,0.07,0.71,5,51,24,28,55.0,16,5
AZK,T1,202,136.9,1.1,158,144,80,209,0.76,0.62,0.18,0.09,0.69,1,40,18,11,50.3,22,2
Tucker,Spot Up,201,137.4,0.85,64,75,26,97,0.66,0.53,0.13,0.08,0.77,0,17,8,7,53.6,8,4
mada,Luminosity Gaming,196,138.7,0.94,117,125,48,172,0.68,0.51,0.31,0.11,0.73,2,27,19,18,52.6,11,3
ohai,Complexity,196,118.6,0.93,88,95,22,129,0.68,0.44,0.24,0.12,0.74,0,20,16,20,48.8,3,0
Kanpeki,Spot Up,195,118.3,0.84,68,81,13,97,0.7,0.46,0.21,0.16,0.84,0,19,16,19,47.0,1,0
ShahZaM,Sentinels,194,123.9,0.94,152,161,59,234,0.65,0.46,0.21,0.09,0.69,7,36,22,26,49.6,11,5
mina,Equinox Esports,194,130.0,0.8,78,98,18,115,0.68,0.42,0.2,0.17,0.85,1,18,19,26,47.4,2,1
PureR,XSET,192,122.5,0.91,79,87,11,110,0.72,0.61,0.26,0.21,0.79,2,18,23,15,44.0,6,1
Hiko,100 Thieves,192,126.9,1.24,217,175,129,326,0.67,0.53,0.24,0.03,0.54,8,51,9,8,59.5,24,14
Critical,Built By Gamers,191,140.2,0.8,64,80,41,109,0.59,0.5,0.24,0.06,0.73,0,10,6,6,55.6,4,4
sharky,Complexity,191,117.3,0.93,86,92,30,129,0.67,0.36,0.2,0.08,0.71,1,23,10,18,49.2,6,1
Rustun,Spot Up,189,131.1,0.8,61,76,18,97,0.63,0.52,0.21,0.11,0.78,1,15,11,10,50.0,0,3
Brando,XSET,189,119.6,0.81,64,79,37,110,0.58,0.46,0.18,0.05,0.72,2,17,6,7,50.0,12,2
thwifo,XSET,187,125.7,0.87,74,85,22,110,0.67,0.48,0.22,0.09,0.77,2,17,10,11,46.2,7,0
FNS,Envy,186,119.9,1.09,197,181,93,294,0.67,0.51,0.25,0.07,0.62,4,52,20,19,49.8,17,1
DaZeD,T1,186,132.2,0.9,121,135,69,209,0.58,0.49,0.18,0.09,0.65,4,31,18,19,59.9,7,4
instinct,The Slimy Boogermen,184,119.7,0.9,100,111,22,150,0.67,0.55,0.16,0.12,0.74,1,20,18,15,46.6,8,1
mAKKA,Dignitas,183,130.2,0.97,115,118,60,176,0.65,0.2,0.24,0.02,0.67,5,31,3,12,53.4,14,3
rob-wiz,Built By Gamers,181,117.1,0.78,68,87,20,109,0.62,0.38,0.18,0.15,0.8,0,22,16,26,44.2,1,2
MkaeL,Gen.G Esports,180,122.9,0.85,93,109,63,160,0.58,0.4,0.18,0.05,0.68,4,24,8,12,46.9,20,6
Will,Built By Gamers,180,115.6,0.85,66,78,23,109,0.61,0.26,0.17,0.06,0.72,2,15,6,17,48.0,2,5
oderus,Dignitas,180,119.6,0.91,114,125,28,176,0.65,0.47,0.23,0.11,0.71,1,27,20,23,49.4,5,4
hazed,TSM,179,122.7,0.94,93,99,28,149,0.62,0.4,0.21,0.07,0.66,1,20,10,15,48.4,11,1
PLAYER1,Gen.G Esports,178,125.6,0.84,97,115,35,160,0.61,0.46,0.18,0.08,0.72,1,26,12,14,46.1,8,2
Wedid,XSET,178,128.8,0.74,64,86,31,110,0.58,0.5,0.2,0.07,0.78,0,13,8,8,54.0,3,0
nitr0,100 Thieves,177,122.5,0.94,206,220,85,326,0.63,0.49,0.24,0.07,0.67,4,53,24,25,52.4,41,4
pho,Built By Gamers,177,111.6,0.94,73,78,23,109,0.67,0.27,0.2,0.03,0.72,0,18,3,8,48.6,19,1
supamen,Dignitas,177,113.5,0.91,108,119,37,176,0.61,0.46,0.31,0.07,0.68,2,24,12,14,47.1,22,4
Berghy,Renegades,174,113.9,0.91,155,170,68,253,0.61,0.59,0.26,0.06,0.67,8,34,16,11,52.0,47,8
dapr,Sentinels,172,103.0,0.85,140,164,62,234,0.6,0.49,0.19,0.08,0.7,3,29,18,19,39.8,13,0
gMd,Gen.G Esports,172,113.9,0.91,99,109,50,160,0.62,0.27,0.25,0.03,0.68,1,24,4,11,44.3,16,4
figment,Spot Up,171,124.5,0.82,55,67,31,97,0.57,0.5,0.19,0.05,0.69,3,11,5,5,54.6,12,3
randyySAVAGE,Renegades,171,108.4,0.8,148,184,45,253,0.58,0.38,0.22,0.06,0.73,3,37,16,26,41.8,8,4
Ksiaze,Luminosity Gaming,170,114.0,0.82,103,125,20,172,0.6,0.49,0.22,0.13,0.73,1,20,23,24,44.6,4,5
intox,The Slimy Boogermen,169,113.3,0.91,89,98,56,150,0.59,0.47,0.21,0.06,0.65,1,15,9,10,50.7,20,5
Spyder,T1,168,111.6,0.9,131,145,44,209,0.63,0.47,0.28,0.08,0.69,3,31,16,18,46.4,11,5
zombs,Sentinels,166,116.8,0.86,133,155,66,234,0.57,0.36,0.21,0.06,0.66,4,30,15,27,51.8,16,3
Dcop,Equinox Esports,165,117.7,0.78,68,87,51,115,0.59,0.24,0.18,0.04,0.76,3,21,5,16,38.4,10,3
reltuC,TSM,164,114.3,0.93,79,85,61,149,0.53,0.67,0.2,0.07,0.57,2,19,10,5,51.0,12,1
vice,Cloud9 Blue,160,108.3,1.08,93,86,55,151,0.62,0.5,0.24,0.05,0.57,2,15,7,7,47.4,13,2
CP2,Renegades,158,103.8,0.94,149,159,108,253,0.59,0.48,0.23,0.06,0.63,3,32,14,15,41.5,15,7
stellar,Luminosity Gaming,158,107.0,0.74,90,121,48,172,0.52,0.39,0.19,0.05,0.7,1,19,9,14,49.1,21,4
XP3,Complexity,158,116.9,0.84,75,89,33,129,0.58,0.6,0.17,0.07,0.69,2,17,9,6,44.3,11,1
Bunny,Spot Up,154,90.7,0.74,54,73,33,97,0.56,0.31,0.3,0.05,0.75,0,14,5,11,36.0,6,1
DXN,Equinox Esports,150,109.9,0.71,60,85,49,115,0.52,0.57,0.17,0.03,0.74,2,14,4,3,41.8,30,1
cute fat boy,Equinox Esports,149,99.7,0.65,62,96,21,115,0.54,0.44,0.21,0.1,0.83,0,14,12,15,33.6,2,2
shinobi,Cloud9 Blue,142,90.3,0.66,75,114,31,151,0.5,0.39,0.28,0.05,0.75,1,15,7,11,34.7,25,3
